Date,PM2.5,date_x,temperature,dewpoint,humidity,wind_speed,pressure,date_y,PM10
2018-05-08,22.0,2018-05-08,31.014901960784307,26.278823529411746,76.81568627450979,1.7560783058823517,100588.54901960783,2018-05-08,34
2018-05-09,19.0,2018-05-09,30.86417322834648,26.793307086614195,79.29921259842521,2.0359680000000004,100673.4251968504,2018-05-09,32
2018-05-10,17.0,2018-05-10,31.16141732283466,26.487401574803144,76.79527559055119,2.389200000000004,100762.24409448818,2018-05-10,38
2018-05-11,19.0,2018-05-11,28.12539062499999,24.267968750000005,79.71875,1.157239875,100802.3046875,2018-05-11,45
2018-05-12,28.0,2018-05-12,29.88473895582332,24.96867469879517,75.94779116465864,1.4427363212851412,100755.6626506024,2018-05-12,37
2018-05-13,23.0,2018-05-13,30.4896,25.13799999999999,73.56,1.2790708479999973,100748.12,2018-05-13,37
2018-05-14,22.0,2018-05-14,29.279518072289147,24.40240963855421,75.59839357429719,2.0612314216867467,100763.05220883538,2018-05-14,46
2018-05-15,28.0,2018-05-15,29.560159362549825,25.29123505976093,78.20717131474103,1.6731050836653376,100604.54183266932,2018-05-15,28
2018-05-16,18.0,2018-05-16,31.69718875502008,25.2694779116466,70.35341365461848,1.9136543614457844,100534.01606425703,2018-05-16,26
2018-05-17,16.0,2018-05-17,31.67160000000001,25.87840000000001,72.372,2.5599298560000037,100528.28,2018-05-17,33
2018-05-18,20.0,2018-05-18,30.281600000000008,25.9484,77.972,1.9560682240000005,100513.44,2018-05-18,35
2018-05-19,,2018-05-19,29.976494023904372,24.952988047808766,75.20717131474103,1.3742472669322698,100495.49800796813,2018-05-19,43
2018-05-20,,2018-05-20,31.152799999999992,25.688,73.292,1.2112995839999994,100497.68,2018-05-20,41
2018-05-21,24.0,2018-05-21,29.709677419354854,25.76895161290322,79.57661290322581,1.1118317419354842,100548.50806451614,2018-05-21,43
2018-05-22,25.0,2018-05-22,27.847794117647066,25.09374999999999,85.15808823529412,1.3933842352941186,100693.49264705883,2018-05-22,41
2018-05-23,25.0,2018-05-23,29.0209923664122,24.84923664122137,78.9732824427481,1.936092702290076,100664.8854961832,2018-05-23,29
2018-05-24,16.0,2018-05-24,28.17630522088357,24.26987951807228,79.79116465863454,1.953690473895584,100698.27309236948,2018-05-24,29
2018-05-25,15.0,2018-05-25,29.316334661354585,25.12749003984064,78.75298804780876,2.194592382470119,100613.3466135458,2018-05-25,29
2018-05-26,15.0,2018-05-26,28.96965811965809,25.479059829059853,81.96153846153847,1.5281508376068371,100681.41025641024,2018-05-26,34
2018-05-27,19.0,2018-05-27,29.432128514056224,25.0281124497992,78.44979919678715,1.8802610120481948,100708.67469879518,2018-05-27,42
2018-05-28,22.0,2018-05-28,29.985600000000016,25.474799999999966,77.392,1.237406719999998,100705.28,2018-05-28,32
2018-05-29,14.0,2018-05-29,29.348995983935733,25.486746987951822,80.03614457831327,2.547589397590364,100724.49799196787,2018-05-29,28
2018-05-30,16.0,2018-05-30,29.838399999999986,25.805600000000034,79.444,2.752693504000004,100686.96,2018-05-30,41
2018-05-31,24.0,2018-05-31,29.146643109540623,25.39823321554772,80.57597173144876,1.5369961837455839,100750.07067137813,2018-05-31,37
2018-06-01,18.0,2018-06-01,29.87231833910036,24.8107266435986,74.67474048442907,1.7081877923875464,100739.34256055363,2018-06-01,37
2018-06-02,17.0,2018-06-02,30.11145833333333,24.546180555555548,73.10416666666667,2.0515721111111147,100632.25694444444,2018-06-02,26
2018-06-03,14.0,2018-06-03,30.67812499999999,24.738194444444453,71.4201388888889,2.076252444444449,100448.22916666669,2018-06-03,28
2018-06-04,14.0,2018-06-04,30.76332179930796,24.40207612456748,69.4083044982699,1.5850584359861597,100406.26297577856,2018-06-04,26
2018-06-05,15.0,2018-06-05,30.56712802768169,24.645674740484427,70.98615916955019,1.5680430726643586,100535.81314878892,2018-06-05,32
2018-06-06,17.0,2018-06-06,29.47421602787456,24.682229965156782,76.07665505226481,2.0126145783972142,100638.50174216027,2018-06-06,36
2018-06-07,16.0,2018-06-07,29.526388888888864,24.540625,74.88541666666667,3.223499888888888,100563.02083333331,2018-06-07,33
2018-06-08,15.0,2018-06-08,28.761805555555547,24.00138888888885,75.68402777777777,3.4797717777777764,100492.36111111114,2018-06-08,26
2018-06-09,13.0,2018-06-09,28.49513888888889,24.850347222222233,80.80555555555556,1.5927352222222215,100463.85416666669,2018-06-09,30
2018-06-10,12.0,2018-06-10,29.20208333333336,25.730208333333305,82.08680555555556,1.3820986666666641,100541.14583333331,2018-06-10,33
2018-06-11,12.0,2018-06-11,30.18506944444445,25.68506944444444,77.05208333333333,2.775373333333334,100569.51388888886,2018-06-11,29
2018-06-12,11.0,2018-06-12,30.58402777777779,25.215972222222234,73.42708333333333,2.5544921111111143,100650.59027777775,2018-06-12,31
2018-06-13,13.0,2018-06-13,30.82367491166077,25.163250883392237,72.18021201413427,3.0575640424028285,100551.13074204947,2018-06-13,34
2018-06-14,14.0,2018-06-14,30.542708333333305,25.07777777777777,73.06597222222223,3.071226888888891,100490.13888888886,2018-06-14,36
2018-06-15,18.0,2018-06-15,29.561458333333324,25.271875000000023,78.35416666666667,2.5445578888888924,100437.95138888886,2018-06-15,38
2018-06-16,17.0,2018-06-16,29.467013888888875,25.21631944444449,78.12152777777777,2.50683888888889,100307.63888888886,2018-06-16,38
2018-06-17,20.0,2018-06-17,29.89097222222219,23.518055555555573,69.14930555555556,5.006227111111102,100181.07638888886,2018-06-17,40
2018-06-18,22.0,2018-06-18,29.58395904436859,24.332081911262808,74.11262798634813,2.858919972696248,100157.03071672352,2018-06-18,46
2018-06-19,24.0,2018-06-19,30.28268551236745,24.879151943462876,73.4452296819788,2.1382096961130768,100333.18021201414,2018-06-19,32
2018-06-20,15.0,,,,,,,2018-06-20,35
2018-06-21,15.0,,,,,,,2018-06-21,48
2018-06-22,22.0,2018-06-22,30.771180555555574,24.785069444444453,70.96180555555556,2.034497666666669,100653.92361111114,2018-06-22,51
2018-06-23,22.0,2018-06-23,30.76666666666667,24.409375,69.46875,2.425347222222225,100571.59722222225,2018-06-23,41
2018-06-24,19.0,2018-06-24,30.38222996515679,24.433797909407676,70.88153310104529,2.2915862299651564,100546.55052264806,2018-06-24,31
2018-06-25,15.0,2018-06-25,29.710763888888913,23.65138888888889,70.27777777777777,2.4984568888888923,100531.59722222225,2018-06-25,34
2018-06-26,18.0,2018-06-26,28.91654676258992,24.64064748201441,78.2158273381295,1.3895225323741005,100593.56115107914,2018-06-26,39
2018-06-27,19.0,2018-06-27,27.59791666666668,25.249305555555548,87.18402777777777,0.825471777777777,100686.94444444444,2018-06-27,37
2018-06-28,19.0,2018-06-28,28.555555555555557,24.473263888888926,79.60069444444444,0.499349888888889,100706.28472222225,2018-06-28,39
2018-06-29,21.0,2018-06-29,29.40659722222217,24.29548611111111,74.52777777777777,0.8234538888888887,100561.77083333331,2018-06-29,29
2018-06-30,14.0,2018-06-30,29.628472222222207,24.932638888888906,76.90972222222223,2.18257966666667,100502.84722222225,2018-06-30,36
2018-07-01,16.0,2018-07-01,29.503819444444428,24.98576388888889,77.8888888888889,2.0057815555555574,100552.8125,2018-07-01,34
2018-07-02,14.0,2018-07-02,28.875694444444473,24.82361111111113,79.55902777777777,2.7503825555555563,100566.90972222225,2018-07-02,36
2018-07-03,15.0,2018-07-03,29.32777777777777,24.140277777777804,73.94097222222223,2.8168176666666698,100518.92361111114,2018-07-03,34
2018-07-04,14.0,2018-07-04,29.42430555555553,23.956597222222214,72.71180555555556,3.035215333333337,100498.71527777775,2018-07-04,47
2018-07-05,16.0,2018-07-05,29.79618055555553,23.940277777777762,71.08333333333333,3.437551333333331,100364.93055555556,2018-07-05,42
2018-07-06,16.0,2018-07-06,29.000694444444427,23.934374999999967,74.71875,3.6151255555555553,100321.90972222225,2018-07-06,46
2018-07-07,20.0,2018-07-07,29.56250000000004,23.598263888888894,70.8611111111111,3.8273143333333253,100365.69444444444,2018-07-07,49
2018-07-08,23.0,2018-07-08,30.16388888888893,23.95590277777779,69.75,3.4347573333333368,100305.24305555556,2018-07-08,47
2018-07-09,20.0,2018-07-09,28.999652777777786,24.159027777777748,75.84375,2.5060627777777817,100376.28472222225,2018-07-09,54
2018-07-10,24.0,2018-07-10,28.99826388888889,24.428472222222233,77.21875,3.3853966666666633,100429.79166666669,2018-07-10,39
2018-07-11,16.0,2018-07-11,28.82222222222222,23.52256944444445,73.25,4.2184743333333214,100388.61111111114,2018-07-11,45
2018-07-12,17.0,2018-07-12,29.08958333333333,23.63125,72.69791666666667,3.660605666666663,100296.77083333331,2018-07-12,42
2018-07-13,16.0,2018-07-13,29.475609756097555,23.89198606271778,72.22648083623693,4.0761636794425025,100247.83972125435,2018-07-13,60
2018-07-14,24.0,2018-07-14,29.26006944444445,24.177430555555528,74.4513888888889,2.8459994444444487,100290.90277777775,2018-07-14,40
2018-07-15,19.0,2018-07-15,29.33020833333333,24.197222222222234,74.40972222222223,3.5632813333333333,100403.26388888886,2018-07-15,49
2018-07-16,21.0,2018-07-16,28.82881944444441,24.27708333333334,76.63541666666667,3.5460516666666635,100384.34027777775,2018-07-16,47
2018-07-17,23.0,2018-07-17,27.48125,24.92152777777776,86.08333333333331,2.730514111111112,100150.3125,2018-07-17,37
2018-07-18,16.0,2018-07-18,28.662847222222233,24.102777777777767,76.6736111111111,4.508429444444434,100024.23611111114,2018-07-18,31
2018-07-19,15.0,2018-07-19,28.789930555555557,24.60173611111113,78.35069444444444,1.7541663333333335,100237.11805555556,2018-07-19,39
2018-07-20,17.0,2018-07-20,29.814236111111068,25.77916666666665,79.2361111111111,1.6245557777777773,100401.77083333331,2018-07-20,44
2018-07-21,20.0,2018-07-21,30.425783972125448,25.283972125435554,74.29616724738678,3.002021574912892,100486.79442508712,2018-07-21,39
2018-07-22,19.0,2018-07-22,29.47152777777779,24.96145833333333,77.10416666666667,2.8973780000000016,100490.69444444444,2018-07-22,47
2018-07-23,23.0,2018-07-23,29.657638888888922,25.02083333333335,76.5486111111111,2.8019163333333363,100428.88888888886,2018-07-23,56
2018-07-24,28.0,2018-07-24,29.759027777777767,24.054166666666692,71.78819444444444,3.2829499999999987,100492.25694444444,2018-07-24,49
2018-07-25,22.0,2018-07-25,29.81493055555555,25.039236111111126,75.77430555555556,2.7696301111111135,100516.11111111114,2018-07-25,47
2018-07-26,21.0,2018-07-26,29.67847222222225,24.90590277777776,75.77430555555556,2.4352814444444486,100527.56944444444,2018-07-26,46
2018-07-27,22.0,2018-07-27,30.15226480836238,24.99407665505228,74.32404181184668,3.1462581742160265,100461.42857142855,2018-07-27,36
2018-07-28,18.0,2018-07-28,29.97916666666665,25.061458333333306,75.21180555555556,2.7052128888888918,100456.11111111114,2018-07-28,38
2018-07-29,20.0,2018-07-29,29.127777777777766,24.932291666666647,78.6076388888889,2.126699666666676,100425.41666666669,2018-07-29,44
2018-07-30,20.0,2018-07-30,27.881597222222233,24.521875,82.30555555555556,1.834571444444445,100509.375,2018-07-30,45
2018-07-31,21.0,2018-07-31,29.0861111111111,23.567361111111087,72.68402777777777,2.173887222222225,100630.17361111114,2018-07-31,42
2018-08-01,21.0,2018-08-01,29.39201388888888,23.59618055555556,71.36805555555556,3.2056493333333345,100607.43055555556,2018-08-01,46
2018-08-02,23.0,2018-08-02,29.53125,23.003819444444442,68.26041666666667,3.95040555555555,100651.45833333331,2018-08-02,43
2018-08-03,21.0,2018-08-03,29.449652777777768,23.254513888888887,69.58680555555556,3.6463252222222176,100534.34027777775,2018-08-03,37
2018-08-04,18.0,2018-08-04,29.69895833333336,24.184027777777768,72.44444444444444,2.8337368888888914,100444.86111111114,2018-08-04,44
2018-08-05,17.0,2018-08-05,29.065625000000054,24.583333333333357,76.96180555555556,2.7710271111111133,100472.53472222225,2018-08-05,32
2018-08-06,18.0,2018-08-06,28.064930555555534,24.67638888888886,82.15277777777777,1.5160554444444445,100460.27777777775,2018-08-06,41
2018-08-07,22.0,2018-08-07,28.46215277777781,25.44722222222221,84.1736111111111,0.7484815555555553,100349.75694444444,2018-08-07,53
2018-08-08,30.0,2018-08-08,28.89548611111111,24.050347222222214,75.94444444444444,3.2011478888888867,100373.99305555556,2018-08-08,42
2018-08-09,20.0,2018-08-09,29.145138888888887,22.81041666666668,69.0486111111111,4.539629111111107,100414.6875,2018-08-09,34
2018-08-10,19.0,2018-08-10,29.069444444444464,23.32673611111109,71.35069444444444,2.7694748888888903,100452.88194444444,2018-08-10,34
2018-08-11,15.0,2018-08-11,28.542708333333348,24.09097222222221,77.06944444444444,2.6876727777777827,100422.22222222225,2018-08-11,32
2018-08-12,14.0,2018-08-12,28.99895833333334,23.68506944444445,73.4201388888889,3.3677013333333377,100352.46527777775,2018-08-12,33
2018-08-13,15.0,2018-08-13,29.359233449477358,25.238327526132398,78.74564459930312,2.230838634146347,100398.4668989547,2018-08-13,34
2018-08-14,16.0,2018-08-14,29.394097222222232,24.953819444444452,77.37847222222223,3.200371777777777,100423.125,2018-08-14,36
2018-08-15,16.0,2018-08-15,28.53159722222221,24.971874999999986,81.56944444444444,2.818680333333337,100573.05555555556,2018-08-15,49
2018-08-16,18.0,2018-08-16,29.00487804878048,24.30348432055749,76.2787456445993,2.7786573379790966,100401.74216027877,2018-08-16,38
2018-08-17,17.0,2018-08-17,29.048780487804862,24.44634146341461,76.44947735191637,2.9579406271777002,100054.25087108012,2018-08-17,23
2018-08-18,11.0,2018-08-18,28.660069444444453,24.90104166666665,80.57291666666667,1.2035931111111098,100113.02083333331,2018-08-18,30
2018-08-19,11.0,2018-08-19,28.63958333333339,25.151041666666607,81.63194444444444,1.9779967777777825,100363.75,2018-08-19,32
2018-08-20,15.0,2018-08-20,29.36111111111109,25.83298611111113,81.6111111111111,1.9075258888888962,100562.25694444444,2018-08-20,52
2018-08-21,26.0,2018-08-21,29.51881533101047,25.69337979094079,80.38675958188153,2.00171116376307,100442.61324041813,2018-08-21,46
